id,app_id,name,price,description,city,year_of_building,floor,square,renovation
11,690633437,"2-комнатная квартира, 60 м², 5/14 этаж, Абая 63 — Абая - Уалиханова (район Жаннура, Артёма)",25 300 000〒,"Удобно под коммерцию, неугловая, тихий двор.Продам евро-двушку.  Золотой квадрат правого берега, хорошая локация, всё в пешей доступности. Квартира тёплая, светлая и уютная. Хороший двор, новые спортивные инвентари Документы на руках",Астанапоказать на карте,2007,5 из 14,60 м²,
12,690683856,"2-комнатная квартира, 41 м², 5/9 этаж, Сыганак 53 — Сығанақ-Тұран",23 600 000〒,"Евродвушка. Кирпичный теплый дом. Отличная локация, рядом Хан шатыр, Зеленый квартал, две школы Бином, на площадке всего 3 квартиры! Мебель, техника. Все остается, заезжай и живи!",Астана,2019,5 из 9,41 м²,
13,678697965,"3-комнатная квартира, 110 м², 7/14 этаж, Тараса Шевченко 8",52 000 000〒,Возможен торг,Астана,2008,7 из 14,110 м²,хорошее
14,683287314,"1-комнатная квартира, 46 м², 7/9 этаж, Е-102 (Казыбек би)",21 400 000〒,"Пластиковые окна, кухня-студия, неугловая, тихий двор, новая сантехника, счётчики, комнаты изолированы.Квартира полностью меблирована, имеется вся необходимая бытовая техника. Установлен высокоскоростной интернет.    Квартира 46, 5 квадратных метров - абсолютно новая, ремонт завершен в в октябре.    ЖК Акдидар (застройщик Базис-А) - комфорт класса, тихий спальный район. Во дворе детская площадка, ограждение шлагбаумом.    Развитая инфраструктура:  1. Магнум, Смолл  2. Барыс и Астана Арена  3. Школа Бином и детские сады.    Шикарный закат - заходи и живи!  торг реальному покупателю.",Астана,2023,7 из 9,46 м²,хорошее
15,682757549,"2-комнатная квартира, 67 м², 5/12 этаж, Е-15 9А",18 500 000〒,"🔥СУПЕР ПРЕДЛОЖЕНИЙ🔥  ❗ИПОТЕКИ НЕТ ДДУ только НАЛИЧНЫЙ РАСЧЕТ❗  💎Успейте приобрести, квартиру по самой выгодной цене в ЖК ""Жагалау 4""     Преимущества:  ✅Паркинг  ✅Потолки 2.8м  ✅Закрытый двор  ✅Игровая детская площадка  ✅Спортивная площадка  ✅Видеонаблюдение 24/7    Окружение комплекса:    Архитектура.  Здания жилого комплекса имеет высокую сейсмостойкость, производится утепление фасадов долговечным теплоизолятором. В подъездах устанавливаются бесшумные надежные лифты, новостройка оснащается современными инженерными коммуникациями и совершенным технологическим оборудованием.    Благоустройство.    Проект предусматривает устройство гостевой автопарковки, проезды вдоль зданий, достаточно широкие для работы спецтранспорта, создание по центру двора уютной зоны отдыха с декоративными растениями, сооружение хорошо оснащенного безопасного детского городка.",Астанапоказать на карте,2022,5 из 12,67 м²,
16,689560299,"3-комнатная квартира, 138 м², 20/24 этаж, Кабанбай батыра 11",75 000 000〒,"Шикарная панорамная квартира, супер локация, золотой квадрат левого берега. Рядом 17 школа -гимназия, ТД Сарыарка, КЕРУЕН Сити, Хан Шатыр, Байтерек, Думан, Центральный Парк, рестораны, во дворе фитнес, большой зал для гостей (36, 1 м2), квартира с ремонтом и мебелью, гардеробная, +1 парковочное место, без комиссии, продажа от хозяина, согласно фэн-шуй самый благоприятно расположенный дом, притягивает деньги, успех и здоровье жильцам",Астана,2006,20 из 24,138 м²,
17,689889375,"3-комнатная квартира, 103.5 м², 8/9 этаж, Жошы хан — Керей Жанибек хандар",67 999 999〒,"💥Продаётся 3-х комнатная квартира с дизайнерским ремонтом    📌в ЖК ""Prime Garden - 2""   📌Элитный, перспективный район  📌Вид на Президентский парк, Ақорду  📌Рядом школа Вinom, школы № 75, 95 и детские сады  📌Дом комфорт класса с элементами бизнес класса 2022 г.п, введён в эксплуатацию    💥Кирпичный дом  💥 Малоэтажный, малоквартирный  💥8 этаж из 9  💥Детская, тренажёрная площадка/футбольное поле  💥Потолки 3 метра  💥Увеличенные окна высотой 2.2 м  💥Распашонка, удобная планировка, все комнаты изолированы  💥Тёплые полы в санузлах🔥      🔐Безопасный двор  🔐Видеодомофон, FaceID, электронные замки      звоните!",Астана,2022,8 из 9,103.5 м²,хорошее
18,688234593,"2-комнатная квартира, 66.7 м², 2/6 этаж, Иле 32",26 000 000〒,"Пластиковые окна, неугловая, улучшенная, тихий двор.💥 полноценная 2-х комн квартира;  💥 все комнаты изолированные;  💥 квартира в хорошем состоянии, светлая, уютная, с отличной аурой;  💥 дом кирпичный;  💥 шикарная шумоизоляция;  💥 школа 63 во дворе, поликлиника, детский сад, больница;  💥 дом находится в Алматинском районе;  💥 шикарный район, все в шаговой доступности;  💥 транспортная развязка во все направления;  💥 ипотека рассматривается;  💥 риелтор    все оставшиеся вопросы по телефону -  риелтор Анара",Астана,2009,2 из 6,66.7 м²,хорошее
19,689390955,"4-комнатная квартира, 142 м², 4/9 этаж, Е-900",130 500 000〒,"Неугловая, тихий двор, встроенная кухня, улучшенная, кондиционер, счётчики, комнаты изолированы, новая сантехника.ХОТИТЕ ПОЧУВСТВОВАТЬ КОМФОРТ, СОВРЕМЕННОСТЬ И БЕЗОПАСНОСТЬ В одноМ КЛЮЧЕ?🗝️  4-х комнатная квартира на продажу в ЖК  «GreenLine Aura» станет идеальным вариантом для вас. Данная квартира обустроена в современном минималистичном стиле и отражает все последние тенденции дизайна  💎Общая площадь 142 кв. М  💎 4/9 этаж  💎высота потолков 3 м  💎 качественная дизайнерская мебель и техника в цене  💎 в цене одно парковочное место  💎 увеличенные окна  💎 3 санузла  В ЖК «GreenLine Aura» комфорт кроется в каждой детали. Расположение на престижном бульваре БИгВИЛь, увеличенные дверные проемы, высокие потолки, дом стиле жилых комплексов Нью Йорка и закрытый двор с уникальным ландшафтным дизайном  Данный ЖК порадует своих жильцов собственной зоной для отдыха и игр. Это отличная возможность почувствовать стиль, комфорт и минимализм полностью  Успейте приобрести данную квартиру, торг уместен.",Астана,2022,4 из 9,142 м²,хорошее
20,683236947,"1-комнатная квартира, 42.6 м², 8/9 этаж, А91 16 — А242",17 000 000〒,"Пластиковые окна, неугловая, комнаты изолированы, счётчики, тихий двор.Описание  🏡 Продается новая однокомнатная квартира с видом на Бином школа!  Квартира в предчистовой отделке, увеличенные окна, окна лоджия витражные!    🔑 Дом сдан в эксплуатацию, ипотека рассматривается!    ⚜️Дом комфорт класса!  9 -ти этажный и 7 подъездный дом, собственный паркинг, бесшумный и быстрый лифт, детские и спортивные площадки, двор защищен от машин и случайных прохожих.    📍 Рядом: супермаркеты и продуктовые магазины.  Бином школа, новый вокзал Нурлы жол, Аллея тысячилетия, гос. школы №57, №13, №74, школа - гимназия №86, детский сад №67 Шугыла, ясли-сад №66 Толагай.  И прямо перед ЖК Жулдыз строятся дет. сад и школа. Дом находится на возвышенности, на второй линии от дороги: нет шума от проезжающих авто. двор безопасный, закрытый. Район с развитой инфраструктурой и хорошей развязкой дорог.",Астана,2023,8 из 9,42.6 м²,черновая отделка
